block,total_hr,ID_NCBA_BLOCK,ID_BLOCK_CODE,PRIORITY_BLOCK
COVE_CREEK_GAP-CE,3.5,COVE_CREEK_GAP-CE,35083F1CE,0
COVE_CREEK_GAP-CW,11.3,COVE_CREEK_GAP-CW,35083F1CW,0
COVE_CREEK_GAP-NE,1.3,COVE_CREEK_GAP-NE,35083F1NE,0
COVE_CREEK_GAP-NW,10.1,COVE_CREEK_GAP-NW,35083F1NW,0
COVE_CREEK_GAP-SE,12.0,COVE_CREEK_GAP-SE,35083F1SE,1
COVE_CREEK_GAP-SW,4.4,COVE_CREEK_GAP-SW,35083F1SW,0
CRAGGY_PINNACLE-CE,70.4,CRAGGY_PINNACLE-CE,35082F4CE,0
CRAGGY_PINNACLE-CW,81.2,CRAGGY_PINNACLE-CW,35082F4CW,0
CRAGGY_PINNACLE-NE,4.5,CRAGGY_PINNACLE-NE,35082F4NE,0
CRAGGY_PINNACLE-NW,1.7,CRAGGY_PINNACLE-NW,35082F4NW,0
CRAGGY_PINNACLE-SE,3.3,CRAGGY_PINNACLE-SE,35082F4SE,1
CRAGGY_PINNACLE-SW,180.4,CRAGGY_PINNACLE-SW,35082F4SW,0
CREEDMOOR-CE,16.6,CREEDMOOR-CE,36078A6CE,0
CREEDMOOR-CW,6.7,CREEDMOOR-CW,36078A6CW,0
CREEDMOOR-NE,45.5,CREEDMOOR-NE,36078A6NE,0
CREEDMOOR-NW,0.1,CREEDMOOR-NW,36078A6NW,0
CREEDMOOR-SE,81.4,CREEDMOOR-SE,36078A6SE,1
CREEDMOOR-SW,169.8,CREEDMOOR-SW,36078A6SW,0
CREEDS-CE,0.7,CREEDS-CE,o36076E1CE,0
CREEDS-CW,0.6,CREEDS-CW,o36076E1CW,0
CREEDS-SE,2.9,CREEDS-SE,36076E1SE,1
CREEDS-SW,2.0,CREEDS-SW,36076E1SW,0
CRESWELL_SE-CE,0.4,CRESWELL_SE-CE,35076G3CE,0
CRESWELL_SE-CW,0.6,CRESWELL_SE-CW,35076G3CW,0
CRESWELL_SE-NE,0.1,CRESWELL_SE-NE,35076G3NE,0
AULANDER-SE,0.2,CRESWELL_SE-NW,35076G3NW,1
CRESWELL_SE-SE,14.3,CRESWELL_SE-SE,35076G3SE,1
CRESWELL-CE,0.9,CRESWELL-CE,35076G4CE,0
CRESWELL-CW,15.1,CRESWELL-CW,35076G4CW,0
CRESWELL-NE,5.9,CRESWELL-NE,35076G4NE,0
CRESWELL-NW,0.3,CRESWELL-NW,35076G4NW,0
CRESWELL-SE,12.7,CRESWELL-SE,35076G4SE,1
CRUSO-CE,24.6,CRUSO-CE,35082D7CE,0
CRUSO-CW,0.0,CRUSO-CW,35082D7CW,0
AURELIAN_SPRINGS-CW,0.0,CRUSO-NE,35082D7NE,0
CRUSO-NW,10.2,CRUSO-NW,35082D7NW,0
CRUSO-SE,103.4,CRUSO-SE,35082D7SE,1
CRUSO-SW,0.0,CRUSO-SW,35082D7SW,0
CRUTCHFIELD_CROSSROADS-CE,0.3,CRUTCHFIELD_CROSSROADS-CE,35079G4CE,0
CRUTCHFIELD_CROSSROADS-CW,4.8,CRUTCHFIELD_CROSSROADS-CW,35079G4CW,0
CRUTCHFIELD_CROSSROADS-NW,0.3,CRUTCHFIELD_CROSSROADS-NW,35079G4NW,0
CRUTCHFIELD_CROSSROADS-SE,2.5,CRUTCHFIELD_CROSSROADS-SE,35079G4SE,1
CRUTCHFIELD_CROSSROADS-SW,0.2,CRUTCHFIELD_CROSSROADS-SW,35079G4SW,0
CULBERSON-NE,0.3,CULBERSON-NE,34084H2NE,0
CUMBERLAND_KNOB-CE,13.6,CUMBERLAND_KNOB-CE,o36080E8CE,0
CUMBERLAND_KNOB-CW,0.0,CUMBERLAND_KNOB-CW,o36080E8CW,0
CUMBERLAND_KNOB-SE,6.7,CUMBERLAND_KNOB-SE,36080E8SE,1
CUMBERLAND_KNOB-SW,0.1,CUMBERLAND_KNOB-SW,36080E8SW,0
CURRIE-CE,0.9,CURRIE-CE,34078D1CE,0
CURRIE-CW,3.6,CURRIE-CW,34078D1CW,0
CURRIE-NE,0.0,CURRIE-NE,34078D1NE,0
CURRIE-NW,10.7,CURRIE-NW,34078D1NW,0
CURRIE-SE,1.6,CURRIE-SE,34078D1SE,1
CURRIE-SW,0.1,CURRIE-SW,34078D1SW,0
CURRITUCK-CE,1.9,CURRITUCK-CE,36076D1CE,0
CURRITUCK-CW,3.0,CURRITUCK-CW,36076D1CW,0
CURRITUCK-NE,39.8,CURRITUCK-NE,36076D1NE,0
CURRITUCK-NW,4.5,CURRITUCK-NW,36076D1NW,0
CURRITUCK-SE,4.6,CURRITUCK-SE,36076D1SE,1
CURRITUCK-SW,0.2,CURRITUCK-SW,36076D1SW,0
DANBURY-CE,0.0,DANBURY-CE,36080D2CE,0
DANBURY-CW,3.8,DANBURY-CW,36080D2CW,0
DANBURY-NW,0.3,DANBURY-NW,36080D2NW,0
DANBURY-SE,1.2,DANBURY-SE,36080D2SE,1
DANBURY-SW,1.1,DANBURY-SW,36080D2SW,0
DANVILLE-SE,1.7,DANVILLE-SE,o36079E4SE,1
DANVILLE-SW,0.8,DANVILLE-SW,o36079E4SW,0
DARLINGTON-CE,0.3,DARLINGTON-CE,36077C6CE,0
DARLINGTON-CW,0.0,DARLINGTON-CW,36077C6CW,0
DARLINGTON-NE,0.2,DARLINGTON-NE,36077C6NE,0
DARLINGTON-NW,1.7,DARLINGTON-NW,36077C6NW,0
DARLINGTON-SW,0.3,DARLINGTON-SW,36077C6SW,0
DAVIS-CE,0.0,DAVIS-CE,34076G4CE,0
DAVIS-CW,13.4,DAVIS-CW,34076G4CW,0
DAVIS-NE,3.4,DAVIS-NE,34076G4NE,0
DAVIS-SE,7.7,DAVIS-SE,34076G4SE,1
DAWSON_CROSSROADS-SW,0.3,DAWSON_CROSSROADS-SW,36077B5SW,0
DEEP_GAP-CE,38.4,DEEP_GAP-CE,36081B5CE,0
DEEP_GAP-CW,37.2,DEEP_GAP-CW,36081B5CW,0
DEEP_GAP-NE,50.6,DEEP_GAP-NE,36081B5NE,0
DEEP_GAP-NW,37.8,DEEP_GAP-NW,36081B5NW,0
DEEP_GAP-SE,11.6,DEEP_GAP-SE,36081B5SE,1
DEEP_GAP-SW,10.6,DEEP_GAP-SW,36081B5SW,0
DEEP_RUN-CE,43.2,DEEP_RUN-CE,35077B6CE,0
DEEP_RUN-CW,0.4,DEEP_RUN-CW,35077B6CW,0
DEEP_RUN-NW,0.4,DEEP_RUN-NW,35077B6NW,0
DEEP_RUN-SE,5.9,DEEP_RUN-SE,35077B6SE,1
DEEP_RUN-SW,0.3,DEEP_RUN-SW,35077B6SW,0
DELLWOOD-CE,6.0,DELLWOOD-CE,35083E1CE,0
DELLWOOD-CW,32.1,DELLWOOD-CW,35083E1CW,0
DELLWOOD-NE,0.1,DELLWOOD-NE,35083E1NE,0
DELLWOOD-NW,29.3,DELLWOOD-NW,35083E1NW,0
DELLWOOD-SE,5.1,DELLWOOD-SE,35083E1SE,1
DELLWOOD-SW,75.4,DELLWOOD-SW,35083E1SW,0
AURELIAN_SPRINGS-NE,0.0,DELWAY-CW,34078G2CW,0
AURELIAN_SPRINGS-NW,1.1,DELWAY-NW,34078G2NW,0
DELWAY-SE,3.5,DELWAY-SE,34078G2SE,1
DELWAY-SW,0.0,DELWAY-SW,34078G2SW,0
DENTON_NW-CE,0.0,DENTON_NW-CE,35080F2CE,0
DENTON_NW-CW,0.0,DENTON_NW-CW,35080F2CW,0
DENTON_NW-NE,0.0,DENTON_NW-NE,35080F2NE,0
DENTON_NW-SE,0.9,DENTON_NW-SE,35080F2SE,1
DENTON-SW,0.0,DENTON-SW,35080F1SW,0
DENVER-CE,0.0,DENVER-CE,35081E1CE,0
DENVER-CW,0.0,DENVER-CW,35081E1CW,0
DENVER-NE,8.7,DENVER-NE,35081E1NE,0
DENVER-NW,0.0,DENVER-NW,35081E1NW,0
DENVER-SE,2.9,DENVER-SE,35081E1SE,1
DENVER-SW,0.0,DENVER-SW,35081E1SW,0
DERITA-CE,4.8,DERITA-CE,35080C7CE,0
DERITA-CW,93.2,DERITA-CW,35080C7CW,0
DERITA-NE,111.7,DERITA-NE,35080C7NE,0
DERITA-NW,43.5,DERITA-NW,35080C7NW,0
DERITA-SE,17.1,DERITA-SE,35080C7SE,1
DERITA-SW,0.9,DERITA-SW,35080C7SW,0
DIGGS-CE,0.0,DIGGS-CE,34079G7CE,0
DIGGS-NE,0.0,DIGGS-NE,34079G7NE,0
DIGGS-NW,4.4,DIGGS-NW,34079G7NW,1
DILLARD-NE,0.0,DILLARD-NE,34083H4NE,0
